No.,Time,Source,Source Port,Destination,Destination Port,Protocol,Packet Size
1,11:02:48.861,192.168.1.9,50797,162.243.219.12,443,TCP,41
2,11:02:49.175,192.168.1.9,137,192.168.1.1,137,UDP,96
3,11:02:50.682,192.168.1.9,137,192.168.1.1,137,UDP,96
4,11:02:52.187,192.168.1.9,137,192.168.1.1,137,UDP,96
5,11:02:58.209,192.168.1.9,137,192.168.1.1,137,UDP,96
6,11:02:59.715,192.168.1.9,137,192.168.1.1,137,UDP,96
7,11:03:01.231,192.168.1.9,137,192.168.1.1,137,UDP,96
8,11:03:03.488,192.168.1.9,50744,20.212.88.117,443,TCP,41
9,11:03:24.978,192.168.1.10,5353,224.0.0.251,5353,UDP,60
10,11:03:25.089,192.168.1.10,5353,224.0.0.251,5353,UDP,60
11,11:03:25.193,192.168.1.10,5353,224.0.0.251,5353,UDP,154
12,11:03:25.212,192.168.1.10,5353,224.0.0.251,5353,UDP,154
13,11:03:25.277,192.168.1.10,5353,224.0.0.251,5353,UDP,154
14,11:03:27.348,192.168.1.9,53357,162.159.200.123,123,UDP,76
15,11:03:27.391,162.159.200.123,123,192.168.1.9,53357,UDP,76
16,11:03:33.383,192.168.1.9,50744,20.212.88.117,443,TCP,106
17,11:03:34.131,192.168.1.9,50797,162.243.219.12,443,TCP,41
18,11:03:47.034,192.168.1.9,137,192.168.1.1,137,UDP,96
